stem	name	acc	category	gene_name	source	hmm_file	nseq	cutoff	added_date	status
AsbE_petrobactin_synthesis-rep	AsbE_petrobactin_synthesis-rep		iron_aquisition-siderophore_synthesis	AsbE-family-siderophore-synthesis	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-siderophore_synthesis/AsbE_petrobactin_synthesis-rep.hmm	7	147.6	2026-04-21	active
DhbA-VibA-VabA-EntA	DhbA-VibA-VabA-EntA		iron_aquisition-siderophore_synthesis	VabA-family-siderophore-synthesis	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-siderophore_synthesis/DhbA-VibA-VabA-EntA.hmm	29	240.5	2026-04-21	active
DhbB-EntB-VenB-VibB-VabB	DhbB-EntB-VenB-VibB-VabB		iron_aquisition-siderophore_synthesis	VabB-family-siderophore-synthesis	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-siderophore_synthesis/DhbB-EntB-VenB-VibB-VabB.hmm	11	196.1	2026-04-21	active
DhbC-VibC-VabC	DhbC-VibC-VabC		iron_aquisition-siderophore_synthesis	VabC-family-siderophore-synthesis	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-siderophore_synthesis/DhbC-VibC-VabC.hmm	22	376.9	2026-04-21	active
DhbE-PchD-VibE-VabE-EntE-IroD-PvdQ-MbtA	DhbE-PchD-VibE-VabE-EntE-IroD-PvdQ-MbtA		iron_aquisition-siderophore_synthesis	VabE-family-siderophore-synthesis	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-siderophore_synthesis/DhbE-PchD-VibE-VabE-EntE-IroD-PvdQ-MbtA.hmm	9	467.8	2026-04-21	active
DhbF-PvdDIJL-VabF	DhbF-PvdDIJL-VabF		iron_aquisition-siderophore_synthesis	VabF-family-siderophore-synthesis	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-siderophore_synthesis/DhbF-PvdDIJL-VabF.hmm	10	1091.9	2026-04-21	active
F9X9V1_NRPS2_V2	F9X9V1_NRPS2_V2		iron_aquisition-siderophore_synthesis	F9X9V1_NRPS2_V2	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/F9X9V1_NRPS2_V2.hmm	2	10414.1	2026-04-21	active
Fer3_USTMA_V2	Fer3_USTMA_V2		iron_aquisition-siderophore_synthesis	Fer3_USTMA_V2	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/Fer3_USTMA_V2.hmm	9	9077.3	2026-04-21	active
FslA	FslA	NF041038.1	iron_aquisition-siderophore_synthesis	FslA	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/FslA.hmm	4	1000.0	2026-04-21	active
FslC	FslC	NF041039.1	iron_aquisition-siderophore_synthesis	FslC	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/FslC.hmm	4	500.0	2026-04-21	active
IroD-VabH-enterochelin_esterase-rep	IroD-VabH-enterochelin_esterase-rep		iron_aquisition-siderophore_synthesis	VabH-family-siderophore-synthesis	fegenie	/Users/lgallucc/Desktop/LocalBioinf/iron/fegenie/iron_aquisition-siderophore_synthesis/IroD-VabH-enterochelin_esterase-rep.hmm	32	99.7	2026-04-21	active
K00216	K00216		iron_aquisition-siderophore_synthesis	K00216	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K00216.hmm	748	260.47	2026-04-21	active
K00257	K00257		iron_aquisition-siderophore_synthesis	K00257	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K00257.hmm	78	436.2	2026-04-21	active
K00824	K00824		iron_aquisition-siderophore_synthesis	K00824	tabuteau	/Users/lgallucc/Desktop/LocalBioinf/iron/new_iron_hmms/K00824.hmm	1551	285.53	2026-04-21	active
